Date,USDTRY,Return_1D,Return_5D,Volatility_5D,Volatility_20D,Volatility_60D,MA_Distance_20D,MA_Slope_20D,Drawdown_60D,Absolute_Return_1D,Return_ZScore_20D,Volatility_Ratio_5D_60D,Drawdown_Change_5D,Baseline_Anomaly,Baseline_Anomaly_Score,IF_Anomaly,IF_Anomaly_Score,OCSVM_Decision,OCSVM_Anomaly_Score,OCSVM_Native_Anomaly,OCSVM_Anomaly,Models_Flagging,Consensus_Class
2021-12-27,11.567,0.0523682151500264,-0.1391679690407085,0.0499228960221556,0.0580802163768853,0.0393330322486776,-0.143958159262118,0.2608236201421017,-0.2991693275248868,0.0523682151500264,0.9861104928732746,1.2692358856679309,-0.1133010596981465,True,2.2660211939629296,True,0.7426815926504539,-5.464677449918595,5.464677449918595,True,True,3,ALL_THREE
2021-12-29,12.668,0.0710179235711869,0.0392124692370796,0.0592240820317196,0.0582686948499108,0.0402799981127291,-0.0537462847889045,0.2056124001966801,-0.2324610565475289,0.0710179235711869,1.3689021433496351,1.470309950511241,0.0289614473453015,True,1.7754480892796725,True,0.7145359139642089,-5.168232103775685,5.168232103775685,True,True,3,ALL_THREE
2021-12-20,13.437,-0.1858682678267402,-0.0285499461389975,0.1040061976679864,0.0611362180833093,0.0357535353884926,-0.0175293902167512,0.3668516553035075,-0.1858682678267402,0.1858682678267402,-5.130070644360355,2.908976595960945,-0.1823813114929433,True,4.646706695668505,True,0.7687667257240295,-5.1419468268385256,5.1419468268385256,True,True,3,ALL_THREE
2023-08-24,25.7736,-0.0520682768589114,-0.0482176422581086,0.0237638185046495,0.0118163129474016,0.0151669618240181,-0.0435016088787171,0.0210354843543991,-0.0520682768589114,0.0520682768589114,-48.66321547877196,1.566814684468816,-0.0520682768589114,True,12.16580386969299,True,0.6180983461146577,-5.0601323791825505,5.0601323791825505,True,True,3,ALL_THREE
2018-08-17,6.014,0.0320919855843486,-0.0643329443796187,0.0618660817658923,0.0491662720028096,0.030476176577283,0.1141978710928273,0.1449770478727918,-0.1263038614638114,0.0320919855843486,0.4346841057016082,2.0299817337325505,-0.1263038614638114,True,2.526077229276228,True,0.6873085273057633,-4.78287771455425,4.78287771455425,True,True,3,ALL_THREE
2022-01-03,13.0819,-0.0152434434374153,0.1309674072793289,0.0325021294610513,0.0587411283003159,0.0405972178974238,-0.0167359849795916,0.1359815675521294,-0.2073833514089926,0.0152434434374153,-0.2622209483547135,0.800599921481659,0.0917859761158941,True,1.835719522317882,True,0.6844993023675789,-4.665740890846504,4.665740890846504,True,True,3,ALL_THREE
2021-12-28,11.828,0.022564191233682,-0.0580552679780203,0.049148179448648,0.0560117504405663,0.0393935310448569,-0.1185862206440699,0.2287572423044435,-0.2833556502087284,0.022564191233682,0.4470323371613675,1.2476205647237768,-0.0441692366416838,False,0.8833847328336759,True,0.7081817856006104,-4.580171211972031,4.580171211972031,True,True,2,TWO_MODELS
2018-08-16,5.827,-0.0272932142559051,0.0507239843482336,0.0991280527745093,0.0490554053958191,0.0302647107029314,0.091905991522597,0.1334107837286207,-0.1534706685649534,0.0272932142559051,-0.8189449760136057,3.275367597183339,-0.1534706685649534,True,3.069413371299068,True,0.720613211378653,-4.180207962092725,4.180207962092725,True,True,3,ALL_THREE
2018-08-20,6.0808,0.011107416029265,-0.1165993549699276,0.045522124147113,0.0488545927687897,0.0302085345832083,0.1127478877956034,0.1584845301706456,-0.1165993549699276,0.011107416029265,-0.0286813826642138,1.506929242851022,-0.1165993549699276,True,2.331987099398552,True,0.6694702953301414,-4.11423934284648,4.11423934284648,True,True,3,ALL_THREE
2018-08-14,6.3544,-0.076851555917134,0.211677440268482,0.0865459442564512,0.0456123569991009,0.0292107115733917,0.2159762407764613,0.1116143078521734,-0.076851555917134,0.076851555917134,-2.343938786409916,2.962815337072674,-0.0607542969538875,True,1.9212888979283496,True,0.7451159753449618,-4.1079305536665505,4.1079305536665505,True,True,3,ALL_THREE
2018-08-15,5.9905,-0.0572674052624953,0.1345643939393939,0.097160505705451,0.0482866131294952,0.0301459427134748,0.1333794971923292,0.1235782606338824,-0.1297178719818694,0.0572674052624953,-1.584332324857634,3.223004389974564,-0.1203184235662675,True,2.40636847132535,True,0.7409783539471488,-4.002843589520496,4.002843589520496,True,True,3,ALL_THREE
2021-12-24,10.9914,-0.026430937660543,-0.334044241943204,0.0648667764081717,0.0573720601210138,0.0388482079759928,-0.1903019516467778,0.2863444430546238,-0.334044241943204,0.026430937660543,-0.4352498941641687,1.669749514527355,-0.334044241943204,True,6.680884838864079,True,0.7716645805205665,-3.96917268513147,3.96917268513147,True,True,3,ALL_THREE
2021-12-23,11.2898,-0.0738474159146841,-0.2801157956487362,0.0860906399256618,0.0576309575705417,0.0386521276578614,-0.1725186296548484,0.3101244004436359,-0.3159645434330826,0.0738474159146841,-1.3921666389767815,2.227319558905368,-0.3159645434330826,True,6.319290868661652,True,0.789681149879476,-3.7938369242689287,3.7938369242689287,True,True,3,ALL_THREE
2021-11-24,11.8876,-0.0722162820282683,0.1180227035466063,0.0697130011718241,0.0337983839792354,0.0206114350173367,0.1552227289556873,0.1231798676346755,-0.0722162820282683,0.0722162820282683,-3.145471371018301,3.3822487911776675,-0.0722162820282683,True,1.8054070507067077,True,0.7183157376215026,-3.6587772160212353,3.6587772160212353,True,True,3,ALL_THREE
2021-11-25,11.9998,0.0094384064066759,0.0873323667995651,0.0695011672481276,0.0337606251924887,0.0205924275064742,0.1522813149669435,0.1326787099103881,-0.0634594822405544,0.0094384064066759,-0.0724332965781266,3.375083740189283,-0.0634594822405544,True,1.6875418700946414,True,0.6767684856606127,-3.571549181388151,3.571549181388151,True,True,3,ALL_THREE
2021-12-01,13.3044,-0.0277972641178533,0.1191830142333185,0.0353472786436311,0.0372575037693056,0.0229703075207368,0.198126138068539,0.1888155834562275,-0.0277972641178533,0.0277972641178533,-1.2883966049235973,1.5388247898605971,0.044419017910415,False,0.8883803582083,True,0.6617906272989924,-3.5456764735696984,3.5456764735696984,True,True,2,TWO_MODELS
2021-12-22,12.19,-0.0292267261288524,-0.1766962488687172,0.1002891693990697,0.0550685782915429,0.0372677171402987,-0.1088575466022179,0.3293156377213124,-0.2614225038928305,0.0292267261288524,-0.5227808737100655,2.691046758284639,-0.2614225038928305,True,5.22845007785661,True,0.7725692790018654,-3.5000796273494865,3.5000796273494865,True,True,3,ALL_THREE
2021-12-21,12.557,-0.0654908089603333,-0.1277498767027181,0.104191672740266,0.0571835571573418,0.0369812584410259,-0.081012445156781,0.3435407009072178,-0.2391864135670445,0.0654908089603333,-1.2365743059891017,2.817418258127173,-0.2391864135670445,True,4.78372827134089,True,0.7772766254909154,-3.4341036010969495,3.4341036010969495,True,True,3,ALL_THREE
2021-12-30,13.1706,0.0396747710767289,0.1665928537263725,0.037078443021907,0.0586296820580699,0.0404922086007653,-0.0143415379238579,0.1821252046919692,-0.2020091246735778,0.0396747710767289,0.6931799906619666,0.9156932729326652,0.1139554187595048,True,2.279108375190096,True,0.7084160437555698,-3.3563670694036007,3.3563670694036007,True,True,3,ALL_THREE
2022-01-13,13.5696,0.0261187822325736,-0.0188357278689236,0.0243205087150462,0.0569934523173049,0.0410826703990126,0.0369662227143561,-0.0170201642147628,-0.177834192684508,0.0261187822325736,0.513772409277518,0.5919894806942912,-0.0157833829151696,False,0.65296955581434,True,0.6351058373571367,-3.146428762239629,3.146428762239629,True,True,2,TWO_MODELS
2025-03-19,37.808,0.0304490498980669,0.0333499144523583,0.0133084338908663,0.0067807018695829,0.0040848349414974,0.0340339892726628,0.0168773642994335,0.0,0.0304490498980669,25.643220666840804,3.258010196609745,0.0,True,6.410805166710201,True,0.5811876091698724,-2.9492598468955746,2.9492598468955746,True,True,3,ALL_THREE
2018-08-10,6.4275,0.1590060767802081,0.2648824166092689,0.0673012303463743,0.0389234933864532,0.0259199793567843,0.2736524845883592,0.0758692586398215,0.0,0.1590060767802081,7.960344508552309,2.5965001522564437,0.0,True,3.975151919505202,True,0.745587473696885,-2.8050018731956365,2.8050018731956365,True,True,3,ALL_THREE
2019-03-28,5.561,0.0437704118022448,0.0175290931713385,0.044024857372996,0.0207599130360755,0.0136962175339371,0.0194158294508701,0.0338424130320864,-0.0350009544137296,0.0437704118022448,2.3702978126302607,3.214380705031097,-0.0321000768526563,True,1.6071903525155484,True,0.6047042338305799,-2.7338322493942284,2.7338322493942284,True,True,3,ALL_THREE
2021-11-26,12.369,0.0307671794529909,0.0995155340237343,0.0697123984365273,0.0339837624162026,0.0208295002551576,0.1720926530287352,0.1431914164122281,-0.0346447720656526,0.0307671794529909,0.5520653114326183,3.3468108971681056,-0.0346447720656526,True,1.6734054485840528,True,0.6825725100217062,-2.6591184260797265,2.6591184260797265,True,True,3,ALL_THREE
2021-12-07,13.4845,-0.022756096677175,-0.0146366771892901,0.022791016091042,0.0380440071812556,0.0233518795475065,0.1331922077856595,0.2543873519453195,-0.022756096677175,0.022756096677175,-1.1160363828662312,0.9759820850684208,-0.022756096677175,False,0.568902416929375,True,0.6040954885119963,-2.521834517341115,2.521834517341115,True,True,2,TWO_MODELS
