Feature,Standard_MaxAbs,Standard_P99Abs,Robust_MaxAbs,Robust_P99Abs
Return_1D,17.39560377743467,3.9587110970639765,47.28816062876565,10.70529246525846
Return_5D,13.224308981618023,4.354966162318887,33.17284883615883,11.219255945758919
Volatility_5D,11.268915579081602,3.9518876869665567,16.047133285474313,5.873131012949749
Volatility_20D,6.599667703904087,5.108231008568029,8.37914863608488,6.5316883304864755
Volatility_60D,4.421793563860342,4.351962191934522,5.204213605289468,5.124795352552317
MA_Distance_20D,11.384694653787676,4.226233433243755,22.348780975745388,8.428072466785524
MA_Slope_20D,7.426478284167086,4.391318415085727,12.775534450847807,7.6678202911885895
Drawdown_60D,6.833344959303821,3.7996791288406917,10.66322930283603,6.255282886507674
Absolute_Return_1D,18.91785124495672,3.8252436617428205,36.20597085240268,7.784911456226096
Return_ZScore_20D,28.96283570875818,2.5943576774610464,44.322801236285144,3.956209934740866
Volatility_Ratio_5D_60D,4.585368844130615,3.628012720837957,4.223064895182388,3.3808826045508584
Drawdown_Change_5D,16.29110101645308,3.7080763931518557,66.18789216021227,15.080682044207656
