Date,USDTRY,Return_1D,Return_5D,Volatility_5D,Volatility_20D,Volatility_60D,MA_Distance_20D,MA_Slope_20D,Drawdown_60D,Absolute_Return_1D,Return_ZScore_20D,Volatility_Ratio_5D_60D,Drawdown_Change_5D,Score_Return_Z,Score_Volatility_Ratio,Score_Drawdown_Change,Score_Absolute_Return,Baseline_Anomaly_Score,Rule_Return_Z,Rule_Volatility_Ratio,Rule_Drawdown_Change,Rule_Absolute_Return,Rules_Breached,Baseline_Anomaly,Primary_Reason
2023-08-24,25.7736,-0.0520682768589114,-0.0482176422581086,0.0237638185046495,0.0118163129474016,0.0151669618240181,-0.0435016088787171,0.0210354843543991,-0.0520682768589114,0.0520682768589114,-48.66321547877196,1.566814684468816,-0.0520682768589114,12.16580386969299,0.783407342234408,1.0413655371782278,1.301706921472785,12.16580386969299,True,False,True,True,3,True,LOCAL_RETURN_SHOCK
2021-12-24,10.9914,-0.026430937660543,-0.334044241943204,0.0648667764081717,0.0573720601210138,0.0388482079759928,-0.1903019516467778,0.2863444430546238,-0.334044241943204,0.026430937660543,-0.4352498941641687,1.669749514527355,-0.334044241943204,0.10881247354104218,0.8348747572636775,6.680884838864079,0.660773441513575,6.680884838864079,False,False,True,False,1,True,DRAWDOWN_SHIFT
2025-03-19,37.808,0.0304490498980669,0.0333499144523583,0.0133084338908663,0.0067807018695829,0.0040848349414974,0.0340339892726628,0.0168773642994335,0.0,0.0304490498980669,25.643220666840804,3.258010196609745,0.0,6.410805166710201,1.6290050983048725,0.0,0.7612262474516726,6.410805166710201,True,True,False,False,2,True,LOCAL_RETURN_SHOCK
2021-12-23,11.2898,-0.0738474159146841,-0.2801157956487362,0.0860906399256618,0.0576309575705417,0.0386521276578614,-0.1725186296548484,0.3101244004436359,-0.3159645434330826,0.0738474159146841,-1.3921666389767815,2.227319558905368,-0.3159645434330826,0.3480416597441954,1.113659779452684,6.319290868661652,1.8461853978671026,6.319290868661652,False,True,True,True,3,True,DRAWDOWN_SHIFT
2021-12-22,12.19,-0.0292267261288524,-0.1766962488687172,0.1002891693990697,0.0550685782915429,0.0372677171402987,-0.1088575466022179,0.3293156377213124,-0.2614225038928305,0.0292267261288524,-0.5227808737100655,2.691046758284639,-0.2614225038928305,0.13069521842751639,1.3455233791423196,5.22845007785661,0.73066815322131,5.22845007785661,False,True,True,False,2,True,DRAWDOWN_SHIFT
2021-12-21,12.557,-0.0654908089603333,-0.1277498767027181,0.104191672740266,0.0571835571573418,0.0369812584410259,-0.081012445156781,0.3435407009072178,-0.2391864135670445,0.0654908089603333,-1.2365743059891017,2.817418258127173,-0.2391864135670445,0.3091435764972754,1.4087091290635865,4.78372827134089,1.6372702240083323,4.78372827134089,False,True,True,True,3,True,DRAWDOWN_SHIFT
2021-12-20,13.437,-0.1858682678267402,-0.0285499461389975,0.1040061976679864,0.0611362180833093,0.0357535353884926,-0.0175293902167512,0.3668516553035075,-0.1858682678267402,0.1858682678267402,-5.130070644360355,2.908976595960945,-0.1823813114929433,1.2825176610900888,1.4544882979804725,3.6476262298588655,4.646706695668505,4.646706695668505,True,True,True,True,4,True,LARGE_ABSOLUTE_RETURN
2018-08-10,6.4275,0.1590060767802081,0.2648824166092689,0.0673012303463743,0.0389234933864532,0.0259199793567843,0.2736524845883592,0.0758692586398215,0.0,0.1590060767802081,7.960344508552309,2.5965001522564437,0.0,1.9900861271380772,1.2982500761282219,0.0,3.975151919505202,3.975151919505202,True,True,False,True,3,True,LARGE_ABSOLUTE_RETURN
2023-06-07,23.2553,0.0782016449839118,0.1190385679570771,0.0312990837880649,0.0173310790079032,0.0105928806603587,0.1441589728236845,0.045868993880515,0.0,0.0782016449839118,12.39216608032186,2.9547282549112603,0.0,3.098041520080465,1.4773641274556302,0.0,1.955041124597795,3.098041520080465,True,True,False,True,3,True,LOCAL_RETURN_SHOCK
2021-11-23,12.8129,0.1233276639020883,0.2419451767990075,0.0447646653869267,0.0278061345246925,0.0179031715222825,0.2598591656624982,0.1135490807840311,0.0,0.1233276639020883,9.768776327008478,2.500376278650521,0.0,2.4421940817521195,1.2501881393252605,0.0,3.0831915975522075,3.0831915975522075,True,True,False,True,3,True,LARGE_ABSOLUTE_RETURN
2018-08-16,5.827,-0.0272932142559051,0.0507239843482336,0.0991280527745093,0.0490554053958191,0.0302647107029314,0.091905991522597,0.1334107837286207,-0.1534706685649534,0.0272932142559051,-0.8189449760136057,3.275367597183339,-0.1534706685649534,0.20473624400340143,1.6376837985916695,3.069413371299068,0.6823303563976274,3.069413371299068,False,True,True,False,2,True,DRAWDOWN_SHIFT
