Date,M2_Baseline_Anomaly,M2_Baseline_Score,M2_IF_Score,M2_IF_Training_Percentile
2021-01-01,NORMAL,0.3779344099057578,0.416441016821066,0.7551867219917012
2021-01-04,NORMAL,0.17912501025727434,0.4112158053841308,0.725103734439834
2021-01-05,NORMAL,0.1689824283389988,0.42051801541906014,0.7697095435684648
2021-01-06,NORMAL,0.3097225243684319,0.43768817797054793,0.8184647302904564
2021-01-07,NORMAL,0.34104276297677916,0.4319963902733655,0.8101659751037344
2021-01-08,NORMAL,0.26707449412532624,0.4148960075794122,0.745850622406639
2021-01-11,NORMAL,0.6774996622601467,0.4420351559750797,0.8267634854771784
2021-01-12,NORMAL,0.37394317610965977,0.408119091331146,0.7105809128630706
2021-01-13,NORMAL,0.32763318080232756,0.416119259936385,0.7551867219917012
2021-01-14,NORMAL,0.35031610373147193,0.41284362853953355,0.7302904564315352
2021-01-15,NORMAL,0.5192603739952973,0.4399503963908788,0.8205394190871369
2021-01-18,NORMAL,0.3204016741141975,0.4000432780651341,0.6618257261410788
2021-01-19,NORMAL,0.31516667843935003,0.399193264975277,0.6524896265560166
2021-01-20,NORMAL,0.3102351905777667,0.40632208351459453,0.700207468879668
2021-01-21,NORMAL,0.3197708882559243,0.40982916657887075,0.716804979253112
2021-01-22,NORMAL,0.21935763989325538,0.4159242411159435,0.7551867219917012
2021-01-25,NORMAL,0.20117926064018676,0.4098170693838903,0.716804979253112
2021-01-26,NORMAL,0.2916414273124043,0.42560741910175004,0.7873443983402489
2021-01-27,NORMAL,0.3532335591866532,0.4152945661096817,0.75
2021-01-28,NORMAL,0.37583719528262066,0.42672722240518524,0.7883817427385892
2021-01-29,NORMAL,0.5517592380482259,0.40637870700842443,0.700207468879668
2021-02-01,NORMAL,0.5790358476983155,0.4574202450462977,0.8475103734439834
2021-02-02,NORMAL,0.75298595642253,0.4302285209599518,0.803941908713693
2021-02-03,NORMAL,0.49421695055167,0.42546429983928313,0.7873443983402489
2021-02-04,NORMAL,0.609619923452116,0.42795147642104814,0.7966804979253111
2021-02-05,NORMAL,0.4258401348564909,0.4373801066827961,0.8184647302904564
2021-02-08,NORMAL,0.3128648078837907,0.4008972536269163,0.6659751037344398
2021-02-09,NORMAL,0.33402453343992794,0.4048938117949184,0.6950207468879668
2021-02-10,NORMAL,0.28200443270930875,0.40006127374178296,0.6618257261410788
2021-02-11,NORMAL,0.2963125425588117,0.4057859152671018,0.6991701244813278
2021-02-12,NORMAL,0.1582391414912303,0.4138249493645405,0.7344398340248963
2021-02-15,NORMAL,0.3139392879873263,0.4311461143154148,0.8070539419087137
2021-02-16,NORMAL,0.40392345336350644,0.4149335661834073,0.745850622406639
2021-02-17,NORMAL,0.4076709605690333,0.4061686903070841,0.700207468879668
2021-02-18,NORMAL,0.4092473928011588,0.407147819954011,0.7033195020746889
2021-02-19,NORMAL,0.4222020314272458,0.4072397438933603,0.7033195020746889
2021-02-22,NORMAL,0.397779146187334,0.42466487584116297,0.783195020746888
2021-02-23,NORMAL,0.5484373859663245,0.4302791717937367,0.803941908713693
2021-02-24,NORMAL,0.51506279862616,0.42642033622848957,0.7873443983402489
2021-02-25,NORMAL,0.98424647985501,0.5210389180335269,0.9377593360995851
2021-02-26,ANOMALOUS,1.124165114127474,0.48382961836161004,0.8921161825726142
2021-03-01,NORMAL,0.953469830857917,0.4896693073414711,0.9014522821576764
2021-03-02,NORMAL,0.9335566785002708,0.4603875709186669,0.8547717842323651
2021-03-03,NORMAL,0.9234452068264603,0.46985759161873036,0.8703319502074689
2021-03-04,NORMAL,0.7220701723410532,0.425280424433037,0.7852697095435685
2021-03-05,NORMAL,0.700299088154056,0.4045263109815709,0.6929460580912863
2021-03-08,ANOMALOUS,1.274661622076062,0.5355469266676924,0.950207468879668
2021-03-09,NORMAL,0.8797111439845746,0.48613349606022704,0.8952282157676349
2021-03-10,NORMAL,0.9630187872596357,0.4518492165218773,0.8412863070539419
2021-03-11,NORMAL,0.9568979757323182,0.41984461305497156,0.7697095435684648
2021-03-12,NORMAL,0.996251916350003,0.43652128458356493,0.8174273858921162
2021-03-15,NORMAL,0.6003487977892852,0.39366107363024216,0.6037344398340249
2021-03-16,NORMAL,0.488192615568358,0.3735530248110908,0.3495850622406639
2021-03-17,NORMAL,0.3886038493776206,0.3623950172985373,0.16701244813278007
2021-03-18,NORMAL,0.6421760985332683,0.42927563084231773,0.799792531120332
2021-03-19,NORMAL,0.9133162909597959,0.4510211710272084,0.8412863070539419
2021-03-22,ANOMALOUS,1.9946347617529225,0.6347235061210575,0.9865145228215768
2021-03-23,ANOMALOUS,1.4164435282695345,0.5802815099319824,0.9657676348547718
2021-03-24,ANOMALOUS,1.426147149975668,0.5718345359423583,0.9647302904564315
2021-03-25,ANOMALOUS,1.2891161757148994,0.5770717212908197,0.9657676348547718
2021-03-26,ANOMALOUS,1.37449324760503,0.5963012275970029,0.9719917012448133
2021-03-29,NORMAL,0.36879818818608495,0.4896543111947138,0.9014522821576764
2021-03-30,NORMAL,0.3774620403683125,0.4917263511949386,0.9024896265560166
2021-03-31,NORMAL,0.39338184685621386,0.4844840435340892,0.8921161825726142
2021-04-01,NORMAL,0.5366912040862846,0.47829172772489625,0.8838174273858921
2021-04-02,NORMAL,0.481309104133199,0.45709310625494637,0.8475103734439834
2021-04-05,NORMAL,0.531519950019822,0.45222506138250423,0.8412863070539419
2021-04-06,NORMAL,0.46880444054641596,0.4498414488147816,0.8392116182572614
2021-04-07,NORMAL,0.3052669580710343,0.4363696745671298,0.8174273858921162
2021-04-08,NORMAL,0.15827305830026675,0.43813047739468775,0.8195020746887967
2021-04-09,NORMAL,0.13575719186454724,0.439796446983924,0.8205394190871369
2021-04-12,NORMAL,0.09875890572248999,0.44339416115520436,0.8298755186721992
2021-04-13,NORMAL,0.11819677767953748,0.4427664156783915,0.8267634854771784
2021-04-14,NORMAL,0.195355207670036,0.446384883027196,0.8340248962655602
2021-04-15,NORMAL,0.288827748609326,0.44789422230168047,0.8360995850622407
2021-04-16,NORMAL,0.22611223913592202,0.4431954315042947,0.8278008298755186
2021-04-19,NORMAL,0.1933350709138562,0.40105131653811654,0.6659751037344398
2021-04-20,NORMAL,0.1869794566660725,0.39708159631474516,0.6296680497925311
2021-04-21,NORMAL,0.27777444042627397,0.40945281914188997,0.7157676348547718
2021-04-22,NORMAL,0.714139824348514,0.4620816232298593,0.8558091286307054
2021-04-23,NORMAL,0.63148030228395,0.43985318991101024,0.8205394190871369
2021-04-26,NORMAL,0.3947876490998588,0.42517981223716145,0.7852697095435685
2021-04-27,NORMAL,0.3990265511346926,0.3936276067860951,0.6037344398340249
2021-04-28,NORMAL,0.38214519915724643,0.3838303728798919,0.495850622406639
2021-04-29,NORMAL,0.380071116773946,0.38869431940989035,0.5435684647302904
2021-04-30,NORMAL,0.3823311446568869,0.40075110044368417,0.6649377593360996
2021-05-03,NORMAL,0.2399774424167516,0.3815073997331824,0.45850622406639
2021-05-04,NORMAL,0.31199523037901955,0.39875388286198377,0.6504149377593361
2021-05-05,NORMAL,0.2980330298033,0.3902397392653356,0.5643153526970954
2021-05-06,NORMAL,0.2572843187887692,0.384695165831456,0.5020746887966805
2021-05-07,NORMAL,0.20640192380372574,0.382622834819551,0.47406639004149376
2021-05-10,NORMAL,0.2150829994051309,0.37809877065538433,0.4149377593360996
2021-05-11,NORMAL,0.13808800703583554,0.3828976767797835,0.4782157676348548
2021-05-12,NORMAL,0.5617521376134639,0.41221707005128533,0.7302904564315352
2021-05-13,NORMAL,0.288856441619271,0.3998471451988777,0.6607883817427386
2021-05-14,NORMAL,0.2967534251327097,0.3995719656494733,0.6576763485477178
2021-05-17,NORMAL,0.6132600112478912,0.419591282557721,0.7686721991701245
2021-05-18,NORMAL,0.4518516460154916,0.38786154481037116,0.5321576763485477
2021-05-19,NORMAL,0.3742694646248108,0.39041308972239896,0.5653526970954357
2021-05-20,NORMAL,0.330021332398496,0.3819855157310296,0.4678423236514523
2021-05-21,NORMAL,0.3411140943912972,0.3799017532555952,0.4387966804979253
2021-05-24,NORMAL,0.181839567160666,0.3795881266908105,0.43257261410788383
2021-05-25,NORMAL,0.2530812934039603,0.39179762312385674,0.5809128630705395
2021-05-26,NORMAL,0.18586282959558745,0.3770681966366259,0.3983402489626556
2021-05-27,NORMAL,0.27687602916960596,0.3893444492661966,0.5560165975103735
2021-05-28,NORMAL,0.20371677252411396,0.3920785260625666,0.5840248962655602
2021-05-31,NORMAL,0.3345636801664986,0.38595807736650295,0.5145228215767634
2021-06-01,NORMAL,0.2316944042225405,0.3722306764458801,0.3309128630705394
2021-06-02,NORMAL,0.2557862060822954,0.3809064318438295,0.4491701244813278
2021-06-03,NORMAL,0.3553588844070823,0.3951580574061378,0.6161825726141079
