Date,USDTRY,Return_1D,Return_5D,Volatility_5D,Volatility_20D,Volatility_60D,MA_Distance_20D,MA_Slope_20D,Drawdown_60D,Absolute_Return_1D,Return_ZScore_20D,Volatility_Ratio_5D_60D,Drawdown_Change_5D,Baseline_Anomaly,Baseline_Anomaly_Score,Rules_Breached,Primary_Reason,IF_Raw_Score,IF_Anomaly_Score,IF_Anomaly,Comparison_Class
2017-04-24,3.573,-0.0184335595175956,-0.0346113317662316,0.0086437785983388,0.0090425810008679,0.0086543262693262,-0.0266506484909407,-0.0015001312444833,-0.0534347100431823,0.0184335595175956,-2.355574198594652,0.9987812256368488,-0.007941479869101,False,0.588893549648663,0,LOCAL_RETURN_SHOCK,-0.4397401994420187,0.4397401994420187,False,NEITHER
2017-04-25,3.5797,0.0018751749230339,-0.0221536276223777,0.0090783975722814,0.0086122501718628,0.008659957965999,-0.023781636011841,-0.0027169663534043,-0.0516597345484409,0.0018751749230339,0.2701189631416285,1.0483188957643086,0.0042267902742539,False,0.5241594478821543,0,VOLATILITY_ACCELERATION,-0.3885079534637988,0.3885079534637988,False,NEITHER
2017-04-26,3.5783,-0.0003910942257731,-0.0257827389055268,0.0084097656252489,0.0085958522538107,0.008660148638227,-0.0232631140772888,-0.003522395773125,-0.0520306249503271,0.0003910942257731,0.0763645394370079,0.9710879081367176,0.0007095426834574,False,0.4855439540683588,0,VOLATILITY_ACCELERATION,-0.3864447740381037,0.3864447740381037,False,NEITHER
2017-04-27,3.5612,-0.0047788055780678,-0.0220513524646437,0.0081953565518605,0.0086152407028358,0.0086119687612544,-0.0267246244518629,-0.0037275283002172,-0.056560786287652,0.0047788055780678,-0.4512178054269031,0.9516240454484396,0.0043031724486471,False,0.4758120227242198,0,VOLATILITY_ACCELERATION,-0.38816730690630186,0.38816730690630186,False,NEITHER
2017-04-28,3.5516,-0.0026957205436369,-0.0243125188868437,0.0079728106821677,0.0085864221279792,0.0085195537020814,-0.028238168657425,-0.0039476301954872,-0.059104034757729,0.0026957205436369,-0.1709668614093123,0.9358249224040776,-0.0216351046186418,False,0.4679124612020388,0,VOLATILITY_ACCELERATION,-0.40247824374157665,0.40247824374157665,False,NEITHER
2017-05-01,3.5545,0.0008165333934,-0.0051777218024069,0.0026965710323162,0.0085532550710093,0.0085119364066589,-0.026240416844164,-0.0042527363862655,-0.0583357617823933,0.0008165333934,0.2264165817950731,0.316798775682425,-0.004901051739211,False,0.1583993878412125,0,VOLATILITY_ACCELERATION,-0.3835531533331583,0.3835531533331583,False,NEITHER
2017-05-02,3.5273,-0.0076522717681811,-0.0146380981646506,0.0034005458031146,0.0082878111748622,0.0082547387634341,-0.0316797979520685,-0.0062987787080002,-0.0655416324476118,0.0076522717681811,-0.7520067782526063,0.4119507473910561,-0.0138818978991708,False,0.2776379579834159,0,DRAWDOWN_SHIFT,-0.40868805428882016,0.40868805428882016,False,NEITHER
2017-05-03,3.5349,0.0021546225158053,-0.012128664449599,0.0040130522608146,0.0081615661249994,0.0082220669065543,-0.0274013685551481,-0.0078942842870438,-0.0635282274088007,0.0021546225158053,0.509806375588077,0.4880831433779208,-0.0114976024584735,False,0.2440415716889604,0,VOLATILITY_ACCELERATION,-0.39019130992687656,0.39019130992687656,False,NEITHER
2017-05-04,3.554,0.0054032645902288,-0.0020217904077277,0.004988726503927,0.008251655509503,0.0081830685461628,-0.0200282079668895,-0.0091783849648791,-0.0584682226402099,0.0054032645902288,0.9360044219298752,0.6096400727654065,-0.0019074363525578,False,0.3048200363827033,0,VOLATILITY_ACCELERATION,-0.3719050153896387,0.3719050153896387,False,NEITHER
2017-05-05,3.5441,-0.0027855936972425,-0.0021117242932763,0.0049992406332077,0.0080762946769032,0.0081719988152641,-0.0202482760145908,-0.0117164768334229,-0.0610909476249769,0.0027855936972425,-0.0796879991831378,0.6117524911861035,-0.0019869128672479,False,0.3058762455930517,0,VOLATILITY_ACCELERATION,-0.36663697770053866,0.36663697770053866,False,NEITHER
2017-05-08,3.5851,0.0115685223328914,0.0086088057392039,0.0073974152845532,0.008661058182307,0.0082868074888407,-0.0069332683310573,-0.0135205663991516,-0.0502291572840225,0.0115685223328914,1.7445044457487455,0.8926737219990706,0.0081066044983708,False,0.4463368609995353,0,VOLATILITY_ACCELERATION,-0.3827830919099907,0.3827830919099907,False,NEITHER
2017-05-09,3.6239,0.0108225711974561,0.0273863861877357,0.0060205073904382,0.0089567175417093,0.0083790075227823,0.0048343738258931,-0.0139103829559187,-0.039950194717461,0.0108225711974561,1.4730361874781537,0.7185227336374386,0.0255914377301507,False,0.5118287546030139,0,DRAWDOWN_SHIFT,-0.39945802714696477,0.39945802714696477,False,NEITHER
2017-05-10,3.5874,-0.0100720218549076,0.0148519052872784,0.0092835597335208,0.0087728830127946,0.0084688640370291,-0.0044333437402436,-0.0144022341173347,-0.0496198373380666,0.0100720218549076,-1.0170438307673315,1.096198934465064,0.013908390070734,False,0.548099467232532,0,VOLATILITY_ACCELERATION,-0.3870816380055884,0.3870816380055884,False,NEITHER
2017-05-11,3.5758,-0.0032335396108602,0.0061339335959482,0.0095221038446214,0.0087169377191037,0.0084727529818173,-0.0064462350652957,-0.0161061697715777,-0.0526929292394098,0.0032335396108602,-0.275443188863936,1.123850047919021,0.0057752934008001,False,0.5619250239595105,0,VOLATILITY_ACCELERATION,-0.3693268665440556,0.3693268665440556,False,NEITHER
2017-05-12,3.5731,-0.0007550757872364,0.0081826133574109,0.009348141500294,0.0073262520882328,0.008373323478402,-0.004990225618348,-0.0196050594758695,-0.0534082178716189,0.0007550757872364,0.0478267682569014,1.1164194867672828,0.007682729753358,False,0.5582097433836414,0,VOLATILITY_ACCELERATION,-0.36834380591111865,0.36834380591111865,False,NEITHER
2017-05-15,3.5483,-0.0069407517281913,-0.010264706702742,0.0080164199878545,0.0072648155404932,0.0084172726539991,-0.0097896399488752,-0.0228260321208804,-0.0599782764193181,0.0069407517281913,-0.6529649491934326,0.9523773694138146,-0.0097491191352955,False,0.4761886847069073,0,VOLATILITY_ACCELERATION,-0.38057895370916855,0.38057895370916855,False,NEITHER
2017-05-16,3.5392,-0.0025646084040243,-0.0233726096194706,0.0037467167751097,0.0069659444333798,0.0084216047016804,-0.0106504905934642,-0.0248549808094906,-0.0623890640315786,0.0025646084040243,-0.0666074730285996,0.444893450575055,-0.0224388693141176,False,0.448777386282352,0,DRAWDOWN_SHIFT,-0.3985769992535111,0.3985769992535111,False,NEITHER
2017-05-17,3.5681,0.0081656871609403,-0.0053799409042761,0.0056297753973574,0.0072273493321148,0.0083721596389022,-0.0011072057961033,-0.0270088063608456,-0.0547328264497841,0.0081656871609403,1.411180111727019,0.672440044167099,-0.0051129891117174,False,0.3527950279317547,0,LOCAL_RETURN_SHOCK,-0.3762679333632597,0.3762679333632597,False,NEITHER
2017-05-18,3.6251,0.0159748885961716,0.0137871245595391,0.0092014298664758,0.0079928664514157,0.0086120229188185,0.0150830174995484,-0.027320923480442,-0.0396322886587013,0.0159748885961716,2.407210273953879,1.068440011506398,0.0130606405807084,False,0.6018025684884698,0,LOCAL_RETURN_SHOCK,-0.40782466438514664,0.40782466438514664,False,NEITHER
2017-05-19,3.5753,-0.0137375520675292,0.0006157118468554,0.0118868198030892,0.0085479255950774,0.0086908648339016,0.002047368339922,-0.0285909921290713,-0.0528253900972263,0.0137375520675292,-1.6942908281813571,1.3677372770452851,0.0005828277743925,False,0.6838686385226426,0,VOLATILITY_ACCELERATION,-0.4102779264887021,0.4102779264887021,False,NEITHER
2017-05-22,3.5593,-0.0044751489385506,0.0031000760927768,0.0115643602445459,0.0075493250635499,0.0087090657557094,-0.0022453893830366,-0.0282007066521738,-0.0570641375473548,0.0044751489385506,-0.4225800043188063,1.3278531324631069,0.0029141388719632,False,0.6639265662315534,0,VOLATILITY_ACCELERATION,-0.38341237212326584,0.38341237212326584,False,NEITHER
2017-05-23,3.5704,0.0031185907341331,0.0088155515370704,0.0114453124456356,0.0075720967476783,0.0085942106014219,0.0009966791380056,-0.0272873172334707,-0.0541235065038282,0.0031185907341331,0.4349576526650099,1.3317467975176207,0.0082655575277503,False,0.6658733987588104,0,VOLATILITY_ACCELERATION,-0.38487496066431004,0.38487496066431004,False,NEITHER
2017-05-24,3.5604,-0.00280080663231,-0.0021580112665002,0.0109633159298205,0.0075960577107529,0.0085948578885043,-0.0015563874984225,-0.0266341842897209,-0.0567727236601585,0.00280080663231,-0.3562991253351963,1.2755668647510778,-0.0020398972103744,False,0.6377834323755389,0,VOLATILITY_ACCELERATION,-0.3802255873818059,0.3802255873818059,False,NEITHER
2017-05-25,3.5667,0.0017694641051566,-0.0161099004165402,0.0066603749596613,0.0075302094903403,0.008166215398529,0.0001331940637507,-0.0253512927765485,-0.0551037168516703,0.0017694641051566,0.262349890630918,0.8156011854476737,-0.0154714281929689,False,0.4078005927238368,0,VOLATILITY_ACCELERATION,-0.37496942933908695,0.37496942933908695,False,NEITHER
2017-05-26,3.5777,0.0030840833263241,0.0006712723407826,0.0035405763345437,0.0075280129142809,0.0081416863374904,0.0028507118370413,-0.0238795229841265,-0.052189577979707,0.0030840833263241,0.3957433920624941,0.434870147016134,0.0006358121175193,False,0.217435073508067,0,VOLATILITY_ACCELERATION,-0.3597789745368106,0.3597789745368106,False,NEITHER
2017-05-29,3.5772,-0.0001397545909384,0.0050290787514399,0.0025084296473122,0.0075282184755464,0.0081302096937399,0.00239165065928,-0.0223598979257781,-0.0523220388375236,0.0001397545909384,-0.070775312181169,0.3085319741806464,0.0047420987098312,False,0.1542659870903232,0,VOLATILITY_ACCELERATION,-0.36019986636121426,0.36019986636121426,False,NEITHER
