Date,USDTRY,Baseline_Anomaly,IF_Anomaly,OCSVM_Anomaly,Baseline_Anomaly_Score,IF_Anomaly_Score,OCSVM_Anomaly_Score,Models_Flagging,Consensus_Class
2017-04-24,3.573,False,False,False,0.588893549648663,0.4397401994420187,-1.9323159868392459,0,NONE
2017-04-25,3.5797,False,False,False,0.5241594478821543,0.3885079534637988,-2.4586231195565666,0,NONE
2017-04-26,3.5783,False,False,False,0.4855439540683588,0.3864447740381037,-3.0223396074086057,0,NONE
2017-04-27,3.5612,False,False,False,0.4758120227242198,0.3881673069063018,-2.6976324751987484,0,NONE
2017-04-28,3.5516,False,False,False,0.4679124612020388,0.4024782437415766,-2.3542318645019407,0,NONE
2017-05-01,3.5545,False,False,False,0.1583993878412125,0.3835531533331583,-1.5542975018551246,0,NONE
2017-05-02,3.5273,False,False,False,0.2776379579834159,0.4086880542888201,-1.0161699963490527,0,NONE
2017-05-03,3.5349,False,False,False,0.2440415716889604,0.3901913099268765,-1.2250014237742217,0,NONE
2017-05-04,3.554,False,False,False,0.3048200363827033,0.3719050153896387,-2.4178009765927264,0,NONE
2017-05-05,3.5441,False,False,False,0.3058762455930517,0.3666369777005386,-3.2685334553882157,0,NONE
2017-05-08,3.5851,False,False,False,0.4463368609995353,0.3827830919099907,-2.6886415194769135,0,NONE
2017-05-09,3.6239,False,False,False,0.5118287546030139,0.3994580271469647,-2.2215651628880746,0,NONE
2017-05-10,3.5874,False,False,False,0.548099467232532,0.3870816380055884,-2.441569717446182,0,NONE
2017-05-11,3.5758,False,False,False,0.5619250239595105,0.3693268665440556,-4.051927459273925,0,NONE
2017-05-12,3.5731,False,False,False,0.5582097433836414,0.3683438059111186,-3.865668255494848,0,NONE
2017-05-15,3.5483,False,False,False,0.4761886847069073,0.3805789537091685,-3.12236504445349,0,NONE
2017-05-16,3.5392,False,False,False,0.448777386282352,0.3985769992535111,-0.5757221849686491,0,NONE
2017-05-17,3.5681,False,False,False,0.3527950279317547,0.3762679333632597,-1.7137186318281792,0,NONE
2017-05-18,3.6251,False,False,False,0.6018025684884698,0.4078246643851466,-2.4878769703416026,0,NONE
2017-05-19,3.5753,False,False,False,0.6838686385226426,0.4102779264887021,-2.5119265651389426,0,NONE
2017-05-22,3.5593,False,False,False,0.6639265662315534,0.3834123721232658,-3.341467721705392,0,NONE
2017-05-23,3.5704,False,False,False,0.6658733987588104,0.38487496066431,-3.2788501401250034,0,NONE
2017-05-24,3.5604,False,False,False,0.6377834323755389,0.3802255873818059,-3.608141284421496,0,NONE
2017-05-25,3.5667,False,False,False,0.4078005927238368,0.3749694293390869,-2.0338617932240943,0,NONE
2017-05-26,3.5777,False,False,False,0.217435073508067,0.3597789745368106,-2.887883415324289,0,NONE
2017-05-29,3.5772,False,False,False,0.1542659870903232,0.3601998663612142,-2.483116054346702,0,NONE
2017-05-30,3.5491,False,False,False,0.2723265247408659,0.3741494920241051,-2.530475076625164,0,NONE
2017-05-31,3.527,False,False,False,0.3144052952046082,0.3766158247264844,-2.647741993097414,0,NONE
2017-06-01,3.5246,False,False,False,0.2951708238739798,0.3639684359904248,-3.096877536919264,0,NONE
2017-06-02,3.5098,False,False,False,0.2228901154864483,0.3861080287897572,-1.5890741569044398,0,NONE
2017-06-05,3.5237,False,False,False,0.3114325047036433,0.3699460709769618,-2.0623028210769974,0,NONE
2017-06-06,3.5151,False,False,False,0.255599587324188,0.364981267354832,-2.939607474661887,0,NONE
2017-06-07,3.5503,False,False,False,0.4374146140382289,0.3812495086581826,-2.2973144675527877,0,NONE
2017-06-08,3.5244,False,False,False,0.4795177568074862,0.3675442015027257,-3.7732006604896746,0,NONE
2017-06-09,3.5373,False,False,False,0.457625620831879,0.3620985343435829,-3.8072548970708695,0,NONE
2017-06-12,3.5164,False,False,False,0.4955120544846427,0.366697134155086,-4.088343267353618,0,NONE
2017-06-13,3.5198,False,False,False,0.4918377218577238,0.3572647262410842,-4.357309100106567,0,NONE
2017-06-14,3.4878,False,False,False,0.3792483642753381,0.3953522663329138,-2.150774370014293,0,NONE
