Test_Year,Seed,Train_N,Test_N,Training_Target_Rate,Baseline_Test_Rate,IF_Test_Rate,Threshold
2021,0,964,261,0.06224066390041494,0.11877394636015326,0.1417624521072797,0.5260078475574562
2021,7,964,261,0.06224066390041494,0.11877394636015326,0.14559386973180077,0.5222087876950413
2021,21,964,261,0.06224066390041494,0.11877394636015326,0.1532567049808429,0.5216868179296236
2021,42,964,261,0.06224066390041494,0.11877394636015326,0.14942528735632185,0.5227609452724016
2021,99,964,261,0.06224066390041494,0.11877394636015326,0.1417624521072797,0.5225804124673191
2022,0,1225,260,0.07346938775510205,0.05384615384615385,0.17307692307692307,0.5018038496495938
2022,7,1225,260,0.07346938775510205,0.05384615384615385,0.15,0.5071443362507329
2022,21,1225,260,0.07346938775510205,0.05384615384615385,0.1423076923076923,0.503245036305802
2022,42,1225,260,0.07346938775510205,0.05384615384615385,0.14615384615384616,0.5092332226819195
2022,99,1225,260,0.07346938775510205,0.05384615384615385,0.13846153846153847,0.5051672199221572
2023,0,1485,260,0.07205387205387205,0.06538461538461539,0.05,0.5025672413696898
2023,7,1485,260,0.07205387205387205,0.06538461538461539,0.046153846153846156,0.5043176607120906
2023,21,1485,260,0.07205387205387205,0.06538461538461539,0.05,0.5014564129249128
2023,42,1485,260,0.07205387205387205,0.06538461538461539,0.05,0.4993901437840839
2023,99,1485,260,0.07205387205387205,0.06538461538461539,0.046153846153846156,0.5093641371966564
2024,0,1745,262,0.07277936962750717,0.07633587786259542,0.0,0.5012599194696196
2024,7,1745,262,0.07277936962750717,0.07633587786259542,0.0,0.503084395465623
2024,21,1745,262,0.07277936962750717,0.07633587786259542,0.0,0.49792177076818545
2024,42,1745,262,0.07277936962750717,0.07633587786259542,0.0,0.503941351074725
2024,99,1745,262,0.07277936962750717,0.07633587786259542,0.0,0.5022691132831538
2025,0,2007,261,0.07324364723467862,0.038314176245210725,0.0038314176245210726,0.5029477100991324
2025,7,2007,261,0.07324364723467862,0.038314176245210725,0.0038314176245210726,0.5032790706833685
2025,21,2007,261,0.07324364723467862,0.038314176245210725,0.0038314176245210726,0.5026510300052179
2025,42,2007,261,0.07324364723467862,0.038314176245210725,0.0038314176245210726,0.5081074021294381
2025,99,2007,261,0.07324364723467862,0.038314176245210725,0.0038314176245210726,0.5041028150844116
2026,0,2268,157,0.06922398589065255,0.025477707006369428,0.0,0.5160199039131095
2026,7,2268,157,0.06922398589065255,0.025477707006369428,0.0,0.5104767314614915
2026,21,2268,157,0.06922398589065255,0.025477707006369428,0.0,0.5110074770656088
2026,42,2268,157,0.06922398589065255,0.025477707006369428,0.0,0.5162065683640666
2026,99,2268,157,0.06922398589065255,0.025477707006369428,0.0,0.5081660139467183
