Test_Year,Seed,Train_N,Test_N,Training_Target_Rate,Baseline_Test_Rate,IF_Test_Rate,Threshold
2021,0,964,261,0.06535269709543569,0.11877394636015326,0.1532567049808429,0.5194685644589006
2021,7,964,261,0.06535269709543569,0.11877394636015326,0.14559386973180077,0.5211158609081694
2021,21,964,261,0.06535269709543569,0.11877394636015326,0.14942528735632185,0.5198151200093903
2021,42,964,261,0.06535269709543569,0.11877394636015326,0.1532567049808429,0.5194386139822265
2021,99,964,261,0.06535269709543569,0.11877394636015326,0.14559386973180077,0.5188032968398446
2022,0,1225,260,0.07673469387755102,0.057692307692307696,0.18076923076923077,0.49575908147211245
2022,7,1225,260,0.07673469387755102,0.057692307692307696,0.17307692307692307,0.5023992884748028
2022,21,1225,260,0.07673469387755102,0.057692307692307696,0.15,0.4983390511270204
2022,42,1225,260,0.07673469387755102,0.057692307692307696,0.16538461538461538,0.5016988559096306
2022,99,1225,260,0.07673469387755102,0.057692307692307696,0.15384615384615385,0.501356655391234
2023,0,1485,260,0.0734006734006734,0.07307692307692308,0.05,0.500801575983031
2023,7,1485,260,0.0734006734006734,0.07307692307692308,0.046153846153846156,0.5018866186030725
2023,21,1485,260,0.0734006734006734,0.07307692307692308,0.05,0.5014827659726536
2023,42,1485,260,0.0734006734006734,0.07307692307692308,0.05,0.4995516195895781
2023,99,1485,260,0.0734006734006734,0.07307692307692308,0.046153846153846156,0.5035600534784536
2024,0,1745,262,0.07335243553008595,0.07633587786259542,0.0,0.49961318981172187
2024,7,1745,262,0.07335243553008595,0.07633587786259542,0.0,0.5007169991851341
2024,21,1745,262,0.07335243553008595,0.07633587786259542,0.0,0.4972409224242497
2024,42,1745,262,0.07335243553008595,0.07633587786259542,0.0,0.5023040316281537
2024,99,1745,262,0.07335243553008595,0.07633587786259542,0.0,0.5005392056021755
2025,0,2007,261,0.0737419033383159,0.038314176245210725,0.0038314176245210726,0.5044201070466238
2025,7,2007,261,0.0737419033383159,0.038314176245210725,0.0038314176245210726,0.5037844020494522
2025,21,2007,261,0.0737419033383159,0.038314176245210725,0.0038314176245210726,0.502164207378954
2025,42,2007,261,0.0737419033383159,0.038314176245210725,0.0038314176245210726,0.5080530479967176
2025,99,2007,261,0.0737419033383159,0.038314176245210725,0.0038314176245210726,0.5058318760534908
2026,0,2268,157,0.06966490299823633,0.025477707006369428,0.0,0.5149747429232228
2026,7,2268,157,0.06966490299823633,0.025477707006369428,0.0,0.5095874138261867
2026,21,2268,157,0.06966490299823633,0.025477707006369428,0.0,0.5100725979477185
2026,42,2268,157,0.06966490299823633,0.025477707006369428,0.0,0.5140355088087163
2026,99,2268,157,0.06966490299823633,0.025477707006369428,0.0,0.5073891806909858
