Model,State,Regime_Name,Return_1D,Return_5D,Volatility_5D,Volatility_20D,Volatility_60D,MA_Distance_20D,MA_Slope_20D,Drawdown_60D
K-Means,0,High-Volatility Uptrend,0.01823891822430469,0.07873182506562361,0.031341179998156256,0.035114690273237555,0.022893115199601025,0.10646020247085058,0.15771447925763132,-0.046328069578043564
K-Means,1,Baseline Trend,0.0011555422057434248,0.005332424502043264,0.004283966428443406,0.005002326731285201,0.005563748445199642,0.009734149402220369,0.019556860014706384,-0.012392178369425678
K-Means,2,High-Volatility Correction,-0.004745989128171976,-0.015473126029334004,0.01280675648874523,0.01408674896185483,0.0205845099228151,-0.017040630816133114,0.0004840031501890435,-0.13285354693176882
HMM,0,Elevated-Volatility Transition,0.0008898606231817822,0.004164182382276243,0.005567099266361081,0.006501893645112274,0.007618006790054237,0.007565969899532882,0.015425127027933703,-0.026431422878491845
HMM,1,Low-Volatility Trend,0.0006893621742264812,0.003361569344477606,0.0011936915709515354,0.0013957433029344523,0.0018316131904324076,0.006361706657305341,0.012954902560869418,-0.0003887966630880798
HMM,2,High-Volatility Stress,0.002820164284854243,0.015520713384739098,0.0179457559712926,0.02005709290324788,0.0201743797394598,0.027465070782765034,0.06507051342897202,-0.07664194119614255
