K,Silhouette,Davies_Bouldin,Smallest_Cluster,Largest_Cluster
2,0.739180527824273,1.1446735634524479,95,2350
3,0.5660681909502037,1.153590856036215,78,2124
4,0.5120569668426108,1.0600726679420869,7,2065
5,0.3763430108213888,1.166948498671182,7,1621
6,0.36394427157718956,1.128583564499429,7,1239
