,Silhouette,Davies_Bouldin,Calinski_Harabasz,Observations,States,Episodes,Transitions,Switch_Rate,Mean_Episode_Duration,Median_Episode_Duration,Max_Episode_Duration,Mean_Self_Transition
K-Means,0.5660681909502037,1.153590856036215,805.773518137438,2445.0,3.0,73.0,72.0,0.029459901800327332,33.49315068493151,3.0,768.0,0.906971863506118
HMM,0.16720812613304517,1.72349533342544,425.1390271921677,2445.0,3.0,70.0,69.0,0.02823240589198036,34.92857142857143,14.0,296.0,0.9673562915097325
