Feature,Mean,Std,Skewness,Kurtosis,Min,P01,P05,Median,P95,P99,Max
Return_1D,0.0011196041279249076,0.010751362268078029,0.06367121418214254,73.6662266155745,-0.1858682678267402,-0.02315604672016374,-0.010476260443082079,0.0006089411967582,0.013315260985920745,0.03181347693101255,0.1590060767802081
Return_5D,0.0056287777318927285,0.0256907999873164,1.0084498161085484,41.70780470512319,-0.334044241943204,-0.043624547330652935,-0.022039311568362478,0.0033720595295245,0.03896110067707396,0.10439504506715,0.2914204236318267
Volatility_5D,0.00598109002145885,0.008716973509922624,5.481259684771057,44.46752158213844,9.072561674088193e-05,0.00029145196693518,0.00054580679525692,0.003610544577738,0.01810867108154381,0.040422486786975784,0.104191672740266
Volatility_20D,0.006856002999650553,0.008226385445290993,3.568898973264892,16.56969977431887,0.0002639953802969,0.000481212514867276,0.00070185848946008,0.0055010898521211,0.020119852840425945,0.048869614939243036,0.0611362180833093
Volatility_60D,0.007591981396877397,0.007611940828789084,2.408674581077884,6.77775768351116,0.0006138673113476,0.000674948026018872,0.00082328307832906,0.0064184657546378,0.024472431873586987,0.04071202910244514,0.0412434717638301
MA_Distance_20D,0.010228122188938767,0.02870926952566569,2.880321372795763,24.629422245574382,-0.1903019516467778,-0.0464065754070344,-0.02239640421379548,0.0063782676228558,0.04780024364308223,0.12666571476455435,0.3370069915400326
MA_Slope_20D,0.02224872369652379,0.04672337770169704,2.842837748156368,13.624207280426704,-0.0906566713993157,-0.07172454725349901,-0.0288477524306406,0.0145346606709386,0.09019030743062618,0.22738364366751335,0.3691673218230882
Drawdown_60D,-0.02523174948498856,0.04520131599911088,-2.549264617073894,7.012121959320723,-0.334044241943204,-0.196946830357812,-0.13253307603633616,-0.0023929471032745,0.0,0.0,0.0
Absolute_Return_1D,0.0050432082505895365,0.009560406849945687,7.757862364869193,101.61893801262374,0.0,2.2830916053147024e-05,0.00013924976329675998,0.0020913235227184,0.017830852724389445,0.04160655279070148,0.1858682678267402
Return_ZScore_20D,0.04117151941044772,1.6915052373911172,-7.935842500393473,308.52001343453855,-48.66321547877196,-3.163719784963426,-1.6389448476239568,-0.0346640680245088,2.010101819611629,3.7144457388500363,25.643220666840804
Volatility_Ratio_5D_60D,0.8385877472038595,0.5548486411702437,1.4453921715800817,2.856490029648753,0.0159245447095649,0.07413144348140496,0.1569382869289082,0.7191938107477209,1.9258902315343405,2.8511705815923203,3.3822487911776675
Drawdown_Change_5D,0.00010407301955409659,0.020515325053877168,-4.944300649221897,79.74214387956343,-0.334044241943204,-0.047177314544788476,-0.021609992424687658,0.0,0.02342605954979862,0.05571046228075945,0.1389301229346791
