Feature,Importance
Volatility_20D,0.2137008370005366
Volatility_5D,0.20323793649780947
Volatility_60D,0.17832609119239015
MA_Slope_20D,0.09437854431115193
Drawdown_60D,0.09281566171310345
Return_5D,0.09249625825414498
MA_Distance_20D,0.0904046016858749
Return_1D,0.034640069344988485
